Based_On,Drug Category,Drug Class,Medications,AHA Lab Trigger - Organs,AHA Lab Trigger - Biomarker Abnormal,AHA Lab Trigger - Biomarker High or Low,Caution Note,ICD-10 Diagnosis,ICD-10 Diagnostic Code,SNOMED,,
Class,CV,Loop diuretics,"Bumetanide, Bumex, Ethacrynic Acid, Edecrin, Furosemide, Lasix, Torsemide, Demadex, Soaanz","dysfunctional or problematic lung, heart, liver, or kidney issues","abnormal sodium, potassium, chloride, magnesium, vitamin D, or phosphorus level",,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Side effect of potassium wasting diuretic,T50.2X5A,293468001,,
Class,CV,Thiazide diuretics,"Hydrochlorothiazide, Esidrix, Chlorthalidone, Thalitone, Chlorothiazide, Diuril, Bendroflumethiazide, Indapamide, Metolazone","dysfunctional or problematic lung, heart, liver, thyroid, or kidney issues","abnormal sodium, potassium, chloride, magnesium, vitamin D, or phosphorus level, or abnormally high blood glucose, or HbA1c level",,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Side effect of potassium wasting diuretic,T50.2X5A,293468001,,
Class,CV,Potassium-sparing diuretics,"Amiloride, Triamterene","dysfunctional or problematic lung, heart, liver, or kidney issues","abnormal sodium, potassium, chloride, magnesium, vitamin D, or phosphorus level",,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,CV,Aldosterone antagonist,"Eplerenone, Finerenone","dysfunctional or problematic lung, heart, liver, or kidney issues","abnormal sodium, potassium, chloride, magnesium, vitamin D, or phosphorus level",,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Adverse effect of aldosterone antagonist,T50.0X5A,293470005,,
Drug,CV,Aldosterone antagonist,"Spironolactone, Aldactone, Carospir, Aldactazide","dysfunctional or problematic lung, heart, liver, or kidney issues","abnormal sodium, potassium, chloride, magnesium, vitamin D, or phosphorus level",,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Side effect of spironolactone,T50.0X5A,293472002,,
Class,CV,Diuretics -- Carbonic anhydrase inhibitors,"Acetazolamide, Dorzolamide, Methazolamide, Brinzolamide, Diclofenamide, Ethoxzolamide, Zonisamide","dysfunctional or problematic lung, heart, liver, or kidney issues","abnormal sodium, potassium, chloride, magnesium, vitamin D, or phosphorus level",,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,CV,Sodium channel blockers,"Disopyramide, Norpace, Flecainide, Mexiletine, Propafenone, Rythmol, Quinidine","dysfunctional or problematic lung, heart, liver, or kidney issues",,,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,CV,Beta blockers,"Nadolol, Corgard, Atenolol, Tenormin, Propranolol, Inderal, Bisoprolol, Zebeta, Carvedilol, Coreg, Labetalol, Trandate, Metoprolol, Lopressor, Toprol Xl, Nebivolol, Bystolic, Pindolol, Visken, Betaxolol, Kerlone, Timolol, Blocadren","dysfunctional or problematic lung, pancreas, liver, heart, thyroid gland, or small intestine issues",abnormally high blood glucose or HbA1c level,,"The medication functions by slowing down the heart rate, blood pressure, and the release of the hormones lipase and insulin. By limiting glucose uptake into cells and slowing fat metabolism, it can lead to excess fat deposition within organs and damaged blood vessels, triggering inflammatory responses. Prolonged use or improper dosing can lead to side effects such as dizziness, fatigue, cold extremities, nausea, gastrointestinal discomfort, sexual dysfunction, and shortness of breath.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Drug,CV,Beta blockers,"Acebutolol, Sectral","dysfunctional or problematic lung, pancreas, liver, heart, thyroid gland, or small intestine issues",abnormally high blood glucose or HbA1c level,,"The medication functions by slowing down the heart rate, blood pressure, and the release of the hormones lipase and insulin. By limiting glucose uptake into cells and slowing fat metabolism, it can lead to excess fat deposition within organs and damaged blood vessels, triggering inflammatory responses. Prolonged use or improper dosing can lead to side effects such as dizziness, fatigue, cold extremities, nausea, gastrointestinal discomfort, sexual dysfunction, and shortness of breath.",Adverse effect of acebutolol,T44.7X5A,292421000,,
Class,CV,Antiarrhythmic,"Dronedarone, Amiodarone, Sotalol, Digoxin, Digitoxin, Acetyldigoxin, Deslanoside, Ouabain, Oleandrin, Bufalin, Marinobufagenin, Aerobufagenin, Telocinobufagin, Proscillaridin, Dofetilide","dysfunctional or problematic lung, liver, heart, thyroid, or small intestine issues",,,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Drug,CV,Antiarrhythmic,"Adenosine, Adenocard, Adenoscan","dysfunctional or problematic lung, liver, heart, thyroid, or small intestine issues",,,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Adverse effect of adenosine,T46.2X5A,293437000,,
Drug,CV,Antiarrhythmic,"Dextromethorphan-Quinidine, Dextromethorphan/Quinidine, Nuedexta","dysfunctional or problematic lung, liver, heart, or small intestine issues",,,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,CV,Angiotensin-converting enzyme (ACE) inhibitors,"Fenofibrate, Antara, Fenoglide, Lipofen, Tricor, Triglide, Fibricor, Lofibra, Gemfibrozil, Lopid, Clofibrate, Atromid-S, Bezafibrate, Ciprofibrate, Choline Fenofibrate, Clinofibrate, Clofibride, Nafenopin, Ronifibrate, Simfibrate, Etofibrate","dysfunctional or problematic kidney, lung, or small intestine issues",,,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,CV,Angiotensin-receptor blockers (ARBs),"Atacand, Candesartan, Avapro, Irbesartan, Benicar, Olmesartan, Cozaar, Losartan, Diovan, Valsartan, Micardis, Telmisartan, Teveten, Eprosartan, Edarbi, Azilsartan","dysfunctional or problematic kidney, lung, or small intestine issues",,,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,CV,Cholesterol-lowering medications -- statins,"Atorvastatin, Simvastatin, Pravastatin, Rosuvastatin, Pitavastatin, Livalo, Fluvastatin, Lescol, Lovastatin, Altoprev","dysfunctional or problematic liver, pancreas, small intestine, thyroid, or kidney issues","abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, hemoglobin, red blood cell (RBC), vitamin D, or hematocrit level",,"The medication functions by inhibiting the enzyme HMG-CoA-reductase and reducing the synthesis of cholesterol and several steroid-based hormones. Altering key metabolic pathways can reduce the breakdown of specific dietay fats and proteins and elevate blood glucose levels. These changes may cause side effects such as headache, dizziness, muscle pain or weakness, digestive disturbances, sleep disruptions, skin flushing, confusion, or memory impairment. Long-term use may elevate the risk of diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth.",Complication of statin therapy,T46.6X5A,62014003,,
Class,CV,Cholesterol-lowering medications -- Bile acid sequestrants,"Cholestyramine, Questran, Prevalite, Colesevelam, Welchol, Colestipol, Colestid","dysfunctional or problematic liver, pancreas, small intestine, thyroid, or kidney issues","abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, hemoglobin, red blood cell (RBC), vitamin D, or hematocrit level",,"The medication functions by disrupting bile acid recycling and hindering the transport of cholesterol and B vitamins to peripheral tissues. However, it also alters key metabolic pathways, reducing the breakdown of specific dietary fats and proteins and elevating blood glucose levels. These changes may cause side effects such as headache, dizziness, muscle pain or weakness, digestive disturbances, sleep disruptions, skin flushing, confusion, or memory impairment. Long-term use may elevate the risk of diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,CV,Cholesterol-lowering medications -- PCSK9 inhibitors,"Alirocumab, Evolocumab, Inclisiran, Leqvio","dysfunctional or problematic liver, pancreas, small intestine, thyroid, or kidney issues","abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, hemoglobin, red blood cell (RBC), vitamin D, or hematocrit level",,"The medication functions by impairing the transportation of cholesterol to peripheral tissues. However, it also alters key metabolic pathways, reducing the breakdown of specific dietary fats and proteins and elevating blood glucose levels. These changes may cause side effects such as headache, dizziness, muscle pain or weakness, digestive disturbances, sleep disruptions, skin flushing, confusion, or memory impairment. Long-term use may elevate the risk of diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,CV,Cholesterol-lowering medications -- Fibrates,"Fenofibrate, Antara, Fenoglide, Lipofen, Tricor, Triglide, Fibricor, Lofibra, Gemfibrozil, Lopid, Clofibrate, Atromid-S, Bezafibrate, Ciprofibrate, Choline Fenofibrate, Clinofibrate, Clofibride, Nafenopin, Ronifibrate, Simfibrate, Etofibrate","dysfunctional or problematic liver, pancreas, small intestine, thyroid, or kidney issues","abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, hemoglobin, red blood cell (RBC), vitamin D, or hematocrit level",,"The medication functions by increasing the activity of the enzyme lipoprotein lipase and dietary fat metabolism. Altering key metabolic pathways can reduce the breakdown of specific dietary fats and proteins and elevate blood glucose levels. This may cause side effects such as headache, dizziness, muscle pain or weakness, digestive disturbances, sleep disruptions, skin flushing, confusion, or memory impairment. Long-term use may elevate the risk of diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,CV,Cholesterol-lowering medications,"Bempedoic Acid, Nexletol, Ezetimibe","dysfunctional or problematic liver, pancreas, small intestine, thyroid, or kidney issues","abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, hemoglobin, red blood cell (RBC), vitamin D, or hematocrit level",,"The medication functions by impairing the transportation of cholesterol to peripheral tissues, thereby disrupting key metabolic pathways and reducing the breakdown of specific dietary fats and proteins. These changes can elevate blood glucose levels and cause side effects such as headache, dizziness, muscle pain or weakness, digestive disturbances, sleep disruptions, skin flushing, confusion, or memory impairment. Long-term use may elevate the risk of diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Class,CV,Phosphodiesterase III inhibitors,"Sildenafil, Viagra, Vardenafil, Levitra, Tadalafil, Cialis, Milrinone, Anagrelide, Dobutamine ","dysfunctional or problematic liver, heart, or kidney issues","abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, hemoglobin, red blood cell count, or hematocrit level",,"The medication functions by impairing the break down of the enzyme cyclic adenosine, leading to blood vessel dilation and increased heart contractility. These effects may cause symptoms such as elevated heart rate, sudden fluctuations in blood pressure, dizziness, fainting spells, headaches, nausea, flushing or hot flashes. Prolonged use can increase the risk of blood clots, internal bleeding, heart attack, stroke, and overall mortality.",Adverse effect of agent primarily affecting cardiovascular system,T46.905A,293416008,,
Drug,Analgesics,Analgesics,"Diclofenac, Ibuprofen, Indomethacin, Diflunisal, Etodolac, Naproxen, Naprosyn, Fluribiprofen, Fenoprofen, Aspirin, Nabumetone, Oxaprozin, Piroxicam, Celecoxib, Celebrex, Mefenamic Acid, Ketoprofen, Ketorolac, Meloxicam, Sulindac, Tolmetin, Voltaren, Salsalate ",dysfunctional or problematic organ issue,"abnormal hematocrit, red blood cell (RBC), BUN, total protein, CRP, hs-CRP, cardiac CRP, vitamin D, or bilirubin level",,"The medication works by preventing blood clot formation but may increase the risk of excess bleeding. Potential manifestations include bleeding from the gums or nose, blood in the urine or stool, or bruising under the skin. Additional adverse effects may involve gastrointestinal ulcers, sudden fluctuations in blood pressure, dizziness, irregular heart rate or rhythm, in severe cases, an elevated risk of heart attack, stroke, or multiorgan injury. ",Side effect of drug,T88.7XXA,69449002,,
Drug,Analgesics,Opioids,"Oxycodone, Hydromorphone, Codeine, Fentanyl, Hydrocodone, Morphine, Methadone, Buprenorphine, Tamadol, Oxymorphone, Meperidine, Tapentadol, Diamorphine, Levorphanol Tartrate",dysfunctional or problematic organ issue,"abnormal platelet or red blood cell count, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, cardiac CRP, vitamin D, or bilirubin level",,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Side effect of drug,T88.7XXA,69449002,,
Drug,Analgesics,Skeletal muscle relaxants,"Carisoprodol, Chlorzoxazone, Cyclobenzaprine, Metaxalone, Methacarbamol, Orphenadrine, Baclofen, Tizanidine, Dantrolene",dysfunctional or problematic organ issue,"abnormal platelet or red blood cell count, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, cardiac CRP, vitamin D, or bilirubin level",,"The medication can interfere with fluid and electrolyte balance, leading to fluid retention in various organs. Potential side effects include irregular heart rhythm, sudden fluctuation in blood pressure, weakness, muscle or joint pain, dizziness, fainting spells, frequent urination, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It may also impact the brain and nervous system, causing confusion, anxiety, depression, paranoia, psychosis, suicidal thoughts, gait instability, or headaches. Long-term use may increase the risk of fractures, falls, dementia, prostate enlargement, stroke, heart attack, and overall mortality.",Side effect of drug,T88.7XXA,69449002,,
Drug,Analgesics and fever reducer,Analgesics and fever reducer,Acetaminophen,dysfunctional or problematic organ issue,"abnormal platelet or red blood cell count, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, cardiac CRP, vitamin D, or bilirubin level",,"The medication's metabolite iminoquinone can cause liver cell damage. This can manifest as nausea, loss of appetite, jaundice (yellowing of the eyes or skin), bleeding gums, digestive issues, cough, dizziness, sweating, confusion, chest pain, rash, or blistering skin. It may also cause difficulty swallowing or breathing, weakness, and increase the risk of severe multi-organ injury and autoimmune diseases, including inflammatory bowel disease.",Adverse effect of 4-aminophenol derivative,T39.1X5A,419287006,,
Class,Analgesics and immunosuppressants,Adrenal cortical steroids,"Budesonide, Betamethasone, Methylprednisolone, Beclometasone, Dexamethasone, Prednisolone, Cortisone, Mometasone, Prednisone, Triamcinolone, Ciclesonide, Fluticasone Furoate, Hydrocortisone, Cortef, Hydrocort, Amcinonide, Clobetasol, Clocortolone,Cortisone Acetate, Deflazacort, Desonide, Diflorasone, Fluticasone Propionate, Prednicarbate",dysfunctional or problematic organ issue,"abnormal platelet or red blood cell count, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, cardiac CRP, vitamin D, or bilirubin level",,"The medication functions by impairing the breakdown of specific dietary fats and altering keys metabolic pathways. Common side effects such as headache, dizziness, muscle pain or weakness, digestive disturbances, sleep disruptions, skin flushing, confusion, or memory impairment. Long-term use may elevate the risk of developing diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth.",Steroid side effects,T38.0X5A,293141009,,
Drug,Analgesics and immunosuppressants,Adrenal cortical steroids,Alclometasone,dysfunctional or problematic organ issue,"abnormal platelet or red blood cell count, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, cardiac CRP, vitamin D, or bilirubin level",,"The medication functions by impairing the breakdown of specific dietary fats and altering keys metabolic pathways. Common side effects such as headache, dizziness, muscle pain or weakness, digestive disturbances, sleep disruptions, skin flushing, confusion, or memory impairment. Long-term use may elevate the risk of developing diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth.",Adverse effect of alclometasone,T49.0X1A,293155001,,
Drug,Analgesics and immunosuppressants,Analgesics and immunosuppressants,"Azathioprine, Imuranmycophenolate Mofetil, Cellcept",dysfunctional or problematic organ issue,"abnormal platelet or red blood cell count, hemoglobin, hematocrit, red blood cell (RBC), BUN, total protein, CRP, hs-CRP, cardia CRP, vitamin D, or bilirubin level",,"The medication functions by impairing the breakdown of specific dietary fats and altering keys metabolic pathways. Common side effects such as headache, dizziness, muscle pain or weakness, digestive disturbances, sleep disruptions, skin flushing, confusion, or memory impairment. Long-term use may elevate the risk of developing diabetes, obesity, neurological and autoimmune disorders, vascular diseases, and cancer cell growth.",Adverse effect mycophenolate mofetil,T45.1X5A,292255000,,
